---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,D,DE,-3.83717099223641,-4.21027002691071
data,D,DE,-3.28365760249806,-3.44302665735794
data,C,BC,-4.58584767212127,-4.62304456555075
data,C,DE,-4.53738755097428,-4.28447249463892
data,C,DE,-5.11682147205859,-5.08962273112957
data,C,BC,-4.73091467172528,-4.55057823974819
data,C,BC,-3.65724765026131,-3.53773072473295
data,D,DE,-2.33951111994162,-2.60898288868389
data,C,BC,-3.13459987956267,-3.88737042068972
data,D,DE,-4.32430385684101,-5.42951406962247
data,D,DE,-3.19864657187743,-3.34291840900441
data,C,DE,-3.92803140484755,-3.74116085256644
data,E,DE,-1.67050960584968,-2.45166471347941
data,C,BC,-3.67818901266676,-3.60659470525063
data,D,DE,-4.15482934006124,-4.52588356286026
data,D,DE,-4.30569177344173,-3.43958254147238
data,D,DE,-3.74470394569621,-4.72081273473358
data,D,DE,-3.46595078232013,-3.37223827090422
data,C,BC,-2.21108401351928,-1.79453319734159
data,C,BC,-4.27230004702544,-4.1803095372796
data,C,DE,-2.64585141404949,-3.23310624847443
data,D,DE,-4.7297529347262,-3.5805229897048
data,D,DE,-3.68157504352494,-2.79276298778613
data,D,DE,-3.5776709833961,-3.8857103677434
data,C,BC,-5.39267574501905,-6.54958182194079
data,C,DE,-4.27574204654844,-5.01316912049471
data,B,BC,-2.93183979819284,-2.49999596885577
data,B,BC,-3.90264860587369,-3.19087910136098
data,C,DE,-2.15424720716307,-2.78068271986698
data,D,DE,-4.28967279999282,-3.75675504411104
data,D,DE,-2.7612866289634,-2.14305019976393
data,C,BC,-3.6960518921704,-3.31697942056003
data,D,DE,-2.82373075440446,-2.51286154292032
data,C,BC,-3.09205036101998,-3.34033797281262
data,C,BC,-2.40956466776969,-3.22721555582286
data,D,DE,-2.99818623777147,-3.09987833658493
data,C,DE,-2.32531345152023,-2.55301731778632
data,D,DE,-2.32052692937297,-1.4270300365794
data,D,DE,-3.33197046238657,-3.01909632793859
data,D,DE,-2.68312283126508,-2.5654933051008
data,C,BC,-2.12134728588416,-1.75518331458531
data,D,DE,-2.34762690285673,-2.83227980365229
data,D,DE,-4.09854264257922,-3.70876478375753
data,D,DE,-2.31588378055885,-2.61974364686943
data,C,BC,-5.29426215175999,-5.08473746886508
data,D,DE,-4.67149528119979,-5.24992870893545
data,D,DE,-4.06213273203656,-3.52968158299071
data,C,DE,-2.30524196085349,-2.74199030391386
data,D,DE,-1.22358057984962,-1.46417623001196
data,C,BC,-3.01519620525777,-3.75974566203473
data,D,DE,-5.11125080295927,-6.29627510183137
data,D,DE,-4.02795561884768,-5.3662744666813
data,C,BC,-4.73911559292714,-5.60054867475706
data,D,DE,-2.07235344166836,-2.38956731234426
data,C,BC,-4.5264342513533,-4.50157811776104
data,C,DE,-4.16889920304365,-4.23463194664515
data,C,DE,-3.91085766458086,-4.17132775559924
data,D,DE,-2.75073874204464,-2.56182007649636
data,D,DE,-3.13154687556411,-4.10034854629524
data,C,BC,-5.1320744435805,-6.11828620814262
data,C,BC,-2.62542154602847,-2.14031564657797
data,B,BC,-4.06174581583476,-3.57950484582557
data,D,DE,-5.26767035722253,-5.28191416221667
data,D,DE,-3.92779142282555,-4.6828758761988
data,D,DE,-4.06460444378819,-3.95554342264439
data,C,BC,-5.88436996938097,-5.07366954954481
data,C,DE,-3.61569186653192,-3.32882572630789
data,C,DE,-1.72839826793745,-2.95655651186433
data,D,DE,-1.97920399240386,-1.0146531447401
data,D,DE,-4.9913895616551,-5.30363313569428
data,D,DE,-4.3160388761471,-3.42925679037314
data,D,DE,-2.77047659745499,-2.65327180860513
data,C,BC,-2.6513710104309,-3.22100579476674
data,D,DE,-2.44157751138303,-2.57658678252202
data,C,DE,-3.50432248818057,-2.94554116075304
data,C,DE,-4.52400197387838,-4.55793271463375
data,C,DE,-3.72786327164997,-3.7507159947632
data,C,DE,-3.65724702654978,-3.86595005946015
data,D,DE,-4.1812146350928,-4.66620586609632
data,C,DE,-4.1200015442722,-4.98347374005472
data,D,DE,-4.0994696052542,-3.12206867532508
data,D,DE,-5.16296058425785,-3.7947204825604
data,C,BC,-5.36854080083334,-4.66316748674437
data,C,BC,-4.2489083779507,-3.66944561990317
data,C,BC,-4.45508575787341,-4.63874996110824
data,D,DE,-3.27373504046988,-3.30442555977592
data,C,DE,-4.37681143875732,-3.73755801808796
data,D,DE,-1.87697883899308,-2.76449765684049
data,C,BC,-2.74642241364535,-3.59712419064038
data,D,DE,-3.56498169044557,-3.24392938561852
