---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: LnA
    type: numeric
  - name: A
    type: numeric
  - name: LnC
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,LnA,A,LnC
data,D,-4.49723019862573,89.7681467046561,-6.68853579355971
data,C,-3.26752975458484,26.2464240892007,-4.10056583535274
data,D,-5.11385973796754,166.311034665209,-8.53010322268511
data,C,-4.42413753361094,83.4408112842573,-6.17286165480819
data,E,-1.96255890995037,7.11751686693138,-1.56626683401428
data,C,-3.74767514551613,42.4223414950426,-4.52424814851663
data,D,-4.60174204255803,99.6577725944688,-4.50434182024977
data,D,-4.53245129536798,92.9862186271793,-6.52918970169315
data,D,-2.11183198478557,8.26336578686673,-2.11884324307754
data,D,-4.14205661529146,62.9321156007327,-4.59406173572074
data,C,-3.10922687790131,22.4037168948464,-4.75689870379694
data,D,-5.04997662232533,156.018817086614,-8.21590577125907
data,C,-3.3928293268472,29.7500057969534,-4.57788567862515
data,D,-4.64073644158429,103.620630031995,-7.24156340408498
data,C,-4.1622915004804,64.2185108722834,-3.77137112483467
data,C,-3.83293582664837,46.1979685641661,-5.02949763242598
data,C,-1.52704704668162,4.60455967701974,-4.21085984734351
data,C,-2.81205834910394,16.6441424396827,-3.08099815466045
data,C,-3.63694665818494,37.975706710051,-5.53759851998284
data,D,-4.42060765848606,83.1467948660127,-5.87247904828247
data,C,-3.47933076265774,32.4380060851176,-4.3406463010657
data,C,-4.19489229623745,66.3465854155861,-6.96415998855392
data,D,-2.21526874523785,9.16387152754597,-2.8016515882833
data,D,-2.67245861538663,14.4755152023201,-2.83587552807133
data,C,-4.563904426619,95.9574080256211,-6.79963500151993
data,C,-1.95901783820002,7.09235780034072,-2.82879264894693
data,C,-1.16385842070299,3.20226515620149,-2.09944346795212
data,D,-2.48451050549346,11.995247209923,-4.01672990793163
data,D,-5.15167525062135,172.720598374761,-9.44004586234131
data,D,-3.07214170606543,21.588088539241,-4.10382961657805
data,C,-4.27182806979241,71.6525017405553,-6.42852357186521
data,C,-4.94099691258015,139.909657757467,-7.41726473975458
data,D,-2.12583944582917,8.37992903288928,-3.7189459095576
data,D,-3.24277598800539,25.6047015265816,-3.18216783137869
data,C,-2.46660210196468,11.7823435547584,-2.52638101555603
data,C,-3.97513787667754,53.2574593610983,-5.30750984093417
data,C,-3.88123810138986,48.4842062892694,-6.00026060116873
data,D,-4.08427782616949,59.3990258361609,-7.04170356467492
data,D,-1.74972931455828,5.75304519964106,-3.47911085696453
data,D,-4.12082037471979,61.6097646313547,-5.20453548563379
data,B,-2.52006043204375,12.4293477717701,-3.85680454570452
data,D,-4.08959092842127,59.7154588100748,-4.90023124185736
data,D,-4.30045707800226,73.7334879539319,-6.69835894423164
data,C,-2.9643572556986,19.3822414117997,-2.53827078336317
data,C,-2.01151064857029,7.47460031715494,-2.38571873103376
data,C,-4.14180252027012,62.9161268948877,-5.40154918415538
data,C,-4.11770446306424,61.418092818938,-5.70238578956222
