---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnARMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnARMS
data,D,DE,-3.37823985477711,-5.25275713567227
data,B,AB,-5.14862847312413,-7.2335829821416
data,D,DE,-2.4741361932755,-4.04045948989469
data,D,DE,-3.73469333546865,-5.94007618792949
data,D,DE,-3.42166439069283,-5.09219710125544
data,C,DE,-4.55174005955759,-6.48800416410263
data,C,BC,-4.242417693335,-5.6202197897842
data,C,BC,-3.81331308225961,-5.31466327629577
data,D,DE,-2.95064698711363,-4.81068693287892
data,D,DE,-3.50036479229269,-5.25138950108017
data,C,BC,-3.76984373220365,-5.21165601804684
data,D,DE,-4.65463987215129,-6.06507236277773
data,C,BC,-3.75934736322169,-5.37086036114182
data,D,DE,-4.8765081120924,-6.51243470313894
data,D,DE,-4.40884127433621,-6.1249842984979
data,D,DE,-4.90589040655812,-6.73204964245962
data,C,BC,-4.81384750128029,-6.32538117839799
data,C,BC,-2.40840792298197,-3.60328520116298
data,C,BC,-2.59425868783664,-4.17458847345658
data,D,DE,-4.63842128299629,-6.21165431381275
data,C,BC,-2.61938342138644,-4.37187856109027
data,D,DE,-3.90038480622183,-5.53477678584296
data,D,DE,-4.05288841313929,-6.11084877913028
data,D,DE,-4.26560702743402,-6.31375262205431
data,C,BC,-4.4270669970552,-5.92806507186392
data,C,BC,-5.29426215175999,-6.86837755875082
data,D,DE,-3.75528223363339,-5.07690275472459
data,C,BC,-3.70150736212055,-5.20612696757631
data,C,BC,-3.57206793664104,-4.94296649447624
data,C,BC,-2.81095190653719,-4.4562687748518
data,D,DE,-3.98229880999708,-5.68821342422526
data,D,DE,-3.32437057489287,-4.55231325454704
data,C,BC,-3.30957849294875,-4.87701375784031
data,B,BC,-5.38424997529471,-7.24892675243314
data,D,DE,-5.47012440277578,-6.98497842606198
data,C,BC,-3.84714737773587,-5.8629115943103
data,C,DE,-4.16889920304365,-5.49405217127579
data,C,BC,-3.32623935435871,-4.76906333900771
data,D,DE,-3.24430964926837,-5.34805770038121
data,D,DE,-3.97132880478444,-5.58955887930797
data,C,DE,-5.10148359646076,-7.26757218594255
data,C,BC,-2.98891131051264,-4.69490569153714
data,D,DE,-2.17926283148158,-4.09254309183219
data,C,DE,-4.03972317252951,-6.55074513664308
data,C,BC,-2.95426282717202,-5.04848433122478
data,C,BC,-4.21665689260993,-6.36174632025194
data,C,BC,-4.28913324195505,-6.21999439771865
data,C,DE,-4.38910527937895,-5.73450501231868
data,D,DE,-5.90176112383699,-7.68761438297924
data,D,DE,-4.34653090624229,-6.35569807723039
data,D,DE,-3.92779142282555,-5.39463148790772
data,D,DE,-4.05438453309239,-5.6327216265277
data,C,BC,-3.72007641554458,-5.41870001920207
data,C,BC,-3.62974023805644,-4.93031723548336
data,C,BC,-5.88436996938097,-7.50835966965584
data,C,DE,-3.68866489022918,-5.54371881727062
data,C,BC,-2.38081737105008,-4.30422603638452
data,C,DE,-3.02849844657883,-4.50024748688342
data,D,DE,-1.97920399240386,-3.28232663010142
data,D,DE,-3.59129444207817,-5.39765307178279
data,D,DE,-4.57668143825095,-6.28006688576464
data,C,BC,-5.33442745008429,-7.17156564941926
data,C,BC,-4.39840103983901,-6.65933790348965
data,D,DE,-4.16178997873166,-5.95018979291665
data,D,DE,-3.67817599572818,-5.50084847103844
data,D,DE,-4.44554611079089,-6.66250141854171
data,C,DE,-3.23769821342013,-4.96965695905911
data,C,DE,-4.22765392224816,-6.38971119681839
data,D,DE,-3.74077075568593,-5.70770037924885
data,C,BC,-4.00637221716082,-5.5841983369685
data,C,DE,-3.26374315792634,-4.89917506841575
data,C,BC,-2.51061102983032,-4.07937362410743
data,D,DE,-2.61398565739061,-4.82172179511926
data,D,DE,-3.63153928805625,-5.25125306778421
data,C,BC,-1.55517343463381,-4.44803413635294
data,C,DE,-5.10979792022132,-6.73979222792643
data,D,DE,-3.5358354999169,-5.42093278723575
data,C,DE,-3.10417921255287,-4.93832554230596
data,D,DE,-1.72844477295695,-3.64499713854488
data,D,DE,-4.84796304331313,-6.17070114956491
data,D,DE,-2.13340833217249,-3.8831400663919
data,C,DE,-2.7877516340794,-4.83983252620277
data,C,BC,-3.95483119552793,-5.08997690299784
data,C,DE,-4.06217261850523,-6.36961837971194
data,C,DE,-1.44034502388957,-3.35262192229098
data,C,BC,-4.5694447143027,-6.66047092188964
data,C,BC,-2.74642241364535,-4.30541909068161
data,D,DE,-2.81016380607995,-4.86675004156262
data,D,DE,-2.65164953027795,-4.17141657793591
data,D,DE,-2.30460859374939,-3.88817188399322
data,D,DE,-4.06613719457449,-5.75286010728259
data,D,DE,-5.01058293216659,-7.20575405308661
data,D,DE,-3.38275586455354,-5.19872040960652
data,C,BC,-6.0514991642947,-7.42972379658338
data,D,DE,-5.42332653395926,-6.60403909702504
data,D,DE,-4.30472065289801,-5.57405508388094
data,D,DE,-2.41103655089543,-4.14879817726332
data,D,DE,-3.60526909305112,-5.73373550396118
data,D,DE,-2.35004349333469,-3.94408008811673
data,C,BC,-3.66673887439504,-5.5165436673852
data,C,BC,-3.71709632255359,-5.608415671136
data,D,DE,-4.05155896815228,-5.30035437027661
data,C,BC,-3.23359850685468,-4.67473099512259
data,B,BC,-4.55789181741148,-6.68121539752651
data,D,DE,-4.35555593802817,-6.28523515658395
data,D,DE,-3.50712177497306,-5.20215733629516
data,D,DE,-2.78887588041314,-4.20612045787115
data,C,BC,-3.26103148384824,-4.66302003828337
data,C,DE,-3.30811747083807,-5.09973759372388
data,C,DE,-4.69033568352455,-6.28218042146571
data,C,BC,-3.15176174899176,-4.79521748993045
data,C,BC,-2.93638240299022,-4.13552822607351
data,C,BC,-1.12126128285094,-2.64296895318491
data,D,DE,-2.37172634858909,-4.08247503653185
data,D,DE,-2.68261672248191,-4.02586212828066
data,C,DE,-4.55890381027346,-6.02012283536194
data,C,BC,-4.24674063572025,-6.1573036168289
data,C,BC,-3.08214886891799,-4.51130952851428
data,D,DE,-2.41558727358027,-4.08350726143781
data,B,BC,-2.30607622335343,-4.52981097873848
data,D,DE,-3.38123292218665,-5.07536205854003
data,D,DE,-2.53423393940446,-4.011543856512
data,C,DE,-3.16348445602243,-4.4045925662982
data,C,BC,-3.77090542912695,-5.7587467810794
data,D,DE,-3.83577538179834,-5.22232836859073
data,D,DE,-3.45388468544985,-5.0276707661283
data,C,DE,-5.26946473299406,-6.88210727384348
data,D,DE,-1.74972931455828,-3.52261079515803
data,C,BC,-3.72943470509541,-6.04728706419416
data,C,DE,-4.29928731272552,-6.1594461790845
data,C,DE,-6.1962245283521,-7.65502766623212
data,C,DE,-4.29480823853078,-6.14880495452565
data,D,DE,-4.60199100828856,-7.04684816762798
data,D,DE,-5.20364957402334,-6.68109025856189
data,C,BC,-3.77522309458784,-5.28117999373816
data,C,DE,-3.81007427884517,-5.16389717417422
data,D,DE,-4.81417554394153,-6.09035121109532
data,C,DE,-4.43467432047934,-6.25993274066209
data,D,DE,-1.80522979038026,-3.15272091954359
data,E,DE,-2.17801280562757,-4.2029455644511
data,C,BC,-4.09496120640775,-6.15500962081386
data,C,DE,-3.08688531808907,-5.38292248098109
data,C,BC,-2.48957205800607,-4.33426551694531
data,D,DE,-4.95995492112167,-6.75578190346261
data,D,DE,-2.53876734413598,-4.8002015737439
data,C,BC,-4.29300430364658,-5.76143625184289
data,D,DE,-3.57484221072056,-5.62843808746485
data,D,DE,-0.672360300198754,-2.10983699455071
data,C,BC,-3.86951714368552,-5.36509992628809
data,D,DE,-3.58279115146359,-5.39260431875343
data,C,BC,-2.71877582602004,-4.21464814981066
data,C,BC,-1.6852669202572,-3.39334878629084
data,C,BC,-4.00020640634063,-5.87611066341601
data,B,BC,-2.75762872270519,-4.24455495081548
data,D,DE,-2.30308247233381,-4.04523343117703
data,D,DE,-2.37101380687161,-3.69093305392803
data,D,DE,-4.77024127982263,-6.22387271398046
data,C,BC,-2.6238068583727,-4.18110076806627
data,D,DE,-4.60878472320948,-6.20954797327224
data,C,DE,-3.46263731316763,-5.08219537112795
data,C,DE,-2.29485166879337,-4.22070335475875
data,C,BC,-1.9390141071445,-3.26820165511565
data,D,DE,-4.40738246638016,-6.38148657369751
data,C,DE,-3.78847880860001,-6.23369655847702
data,D,DE,-4.08910808936833,-5.32624512770003
data,C,DE,-3.75033386668444,-5.64429796458711
data,C,BC,-4.4776288131979,-6.40494219846951
data,E,DE,-3.01199681217444,-5.12992842416484
data,B,BC,-2.7428090070593,-4.51520315626398
data,D,DE,-4.18248752267241,-5.54478186385925
data,C,DE,-2.29004995921794,-3.79243084290936
data,D,DE,-2.56273344593985,-4.59781311136419
data,D,DE,-3.16564698711363,-4.83540920940189
data,D,DE,-3.70746176429424,-5.8600684833295
