---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: A
    type: numeric
  - name: LnA
    type: numeric
  - name: LnIA
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,A,LnA,LnIA
data,D,0.14668293508373,-1.91948192586379,-1.580619336058
data,C,0.0318091050870413,-3.44800270668689,-3.68776203454258
data,D,0.0504190692011904,-2.98738581829736,-3.25590792651528
data,C,0.0269884412734431,-3.61234660562278,-4.12731198347127
data,C,0.00879968413303414,-4.73303945211557,-7.39928882777758
data,D,0.0172122707807842,-4.06213273203656,-4.67418761878014
data,D,0.0133852178619634,-4.31360432556676,-5.59373047522633
data,C,0.0913504918010595,-2.39305161247191,-1.88309542058837
data,C,0.00874637812455378,-4.73911559292714,-8.5640018863722
data,B,0.0117500682204357,-4.4438962324143,-6.48791178661038
data,D,0.0555005056467402,-2.89136314751918,-3.01034038659565
data,D,0.00682451481774653,-4.98723402941292,-6.83327161662324
data,C,0.0120127355982855,-4.42178789211755,-6.30740692956062
data,D,0.19312105086916,-1.64443808011313,-0.615227843834295
data,D,0.00734220331988797,-4.91411630157941,-6.11874249222309
data,D,0.180342239701989,-1.7128989016574,-0.845292024767727
data,C,0.121655245414256,-2.10656409178161,-1.43413407194587
data,C,0.138271302317591,-1.97853756496978,-0.790452065894088
data,C,0.0147478658823025,-4.21665689260993,-5.90818917567285
data,C,0.0132424085564978,-4.32433082987449,-5.31384365688392
data,C,0.0571060980613103,-2.86284437185242,-1.89068935911041
data,D,0.0113684104121115,-4.47691678643652,-6.52523313306908
data,D,0.127787796789991,-2.05738422837414,-2.08750378969121
data,C,0.047900282673122,-3.03863387326489,-4.17035494166712
data,C,0.148346077715868,-1.90820737198905,-1.04359872844074
data,C,0.0304487992386999,-3.49170871947241,-5.58964911575317
data,D,0.0233603388348297,-3.75671561621165,-4.94503728410971
data,C,0.0705544158805023,-2.6513710104309,-2.9784534315628
data,C,0.0106763049042706,-4.53972848806212,-4.93052657533571
data,D,0.0329690765546426,-3.41218523094581,-2.66360272790795
data,D,0.0279688455659644,-3.5766640466292,-3.42288944546584
data,D,0.0783936664878976,-2.54601213948217,-2.14375765975708
data,C,0.0181992987263529,-4.00637221716082,-5.31404712472039
data,C,0.0948561674165298,-2.35539356187336,-1.71376924333143
data,C,0.0049567254320039,-5.3070099514306,-7.65501375274943
data,C,0.0301339604921781,-3.50210248767518,-3.75889883546653
data,D,0.0823979464604437,-2.49619476397382,-1.6205097565114
data,C,0.0331858978626435,-3.40563025647051,-3.49222983080397
data,C,0.0404145709096936,-3.20856489295789,-3.51812764947562
data,D,0.0597662439549345,-2.81731425976465,-2.91600574098394
data,D,0.0478008356935607,-3.04071215650867,-3.78781771150943
data,C,0.00453241100747827,-5.3965012498406,-7.76077499149282
data,C,0.0169214541300487,-4.07917298700458,-5.73600607991351
data,C,0.0116970287633339,-4.44842042128146,-5.35203414647389
data,D,0.0057541232258546,-5.15783859839655,-7.10066547141817
data,C,0.0683561093748411,-2.68302433612208,-2.37805246224835
data,C,0.00378318000764024,-5.57719035115898,-9.22040528930934
data,D,0.0750495159826354,-2.58960717018881,-1.60598092703095
data,C,0.407640534164984,-0.89736953663838,1.22840331663696
data,D,0.0516747968309261,-2.96278510509255,-2.19056518767118
data,D,0.0759313804403647,-2.57792523548811,-2.58755981322746
data,D,0.0175547948716156,-4.04242815432801,-4.51974726512532
data,C,0.0724425705373884,-2.62496116154145,-1.80809512625483
data,D,0.0522682411667641,-2.95136633582356,-3.1760372734361
data,D,0.179603084100083,-1.71700595121201,-0.957015119706492
data,D,0.0339537537338946,-3.38275586455354,-3.50296674877422
data,C,0.00654657582051327,-5.02881314152389,-8.25457513397273
data,D,0.0122443250893863,-4.40269270733783,-6.49589455513751
data,D,0.0321680327335721,-3.43678209180586,-5.49464897053507
data,C,0.0277274229021353,-3.58533335904518,-5.2470130952536
data,C,0.984540202515723,-0.0155805462712641,1.82608712797211
data,D,0.121016063646769,-2.11183198478557,-0.562217758698864
data,D,0.194532023253758,-1.63715848549778,-0.241336977844692
data,D,0.0224637873450568,-3.79585071766072,-4.56403272910355
data,C,0.01907221701277,-3.95952260955812,-5.08968676865211
data,D,0.0123075919191254,-4.39753897781417,-6.13983702021101
data,D,0.0139390267197383,-4.27306269533126,-4.45821264789302
data,C,0.0173791335592427,-4.05248501313541,-5.51275500618391
data,C,0.0336134388283853,-3.3928293268472,-4.15654410532174
data,D,0.0318684671335709,-3.4461382491815,-3.39023270638661
data,C,0.024182390911035,-3.72213055898835,-4.0725331784063
data,C,0.0916742006215927,-2.38951428476178,-2.02095415751072
data,D,0.101454828676352,-2.28814161723036,-0.6915811238721
data,C,0.0141669159186134,-4.25684589761959,-6.23137707574055
data,D,0.108982700634421,-2.21656611912468,-1.42946104910742
data,C,0.0386151284128383,-3.25411115150125,-4.8983760442246
data,C,0.0311749664817367,-3.46813986258144,-4.03469958456348
data,C,0.0263326238438462,-3.63694665818494,-5.28468927454973
data,C,0.00457726381739881,-5.38665387916427,-7.70723965684333
data,C,0.0109209699813436,-4.51707048647982,-6.13058541556209
data,D,0.0153290028757602,-4.17800863219559,-6.24059089538743
data,D,0.0287508656856972,-3.54908740138524,-3.9935332759949
data,C,0.0140052673609169,-4.26832178006193,-5.04054131845938
data,C,0.0291797878091162,-3.53427900770571,-4.22000904743662
data,D,0.00292499272535724,-5.83446328535876,-9.12946009580076
data,C,0.0120348294875752,-4.41995037589274,-5.87115508122552
data,D,0.0152754765110802,-4.18150657892298,-5.58769522636736
data,C,0.0214427178063318,-3.8423701874583,-4.97215734603347
data,C,0.0227924647141205,-3.78132529264196,-4.58608794641818
data,C,0.0113761374804306,-4.47623732086501,-4.80180881723718
data,E,0.0115878034214383,-4.4578021631956,-4.66927945216075
data,C,0.0292731217461547,-3.53108553052658,-4.55393729475368
data,C,0.181504075254301,-1.70647717233756,-1.07613803045548
data,D,0.0125765489135551,-4.37592139654146,-6.78519845886302
data,D,0.149411480257594,-1.90105116681534,-2.60078104890911
data,D,0.0793224618078587,-2.53423393940446,-2.31328905392513
data,C,0.0152811751777643,-4.1811335886616,-6.79735500192445
