---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:40
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: PGAs
    type: numeric
  - name: Da
    type: numeric
  - name: kmax
    type: numeric
  - name: kh
    type: numeric
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
  - name: LnK
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,PGAs,Da,kmax,kh,LnA,LnV,LnK,LnD
data,C,0.0684775517121148,15,263.7605,0.39,-2.68124929965525,4.25541307742785,-3.62322629631751,2.70805020110221
data,C,0.0684775517121148,25,218.9283,0.324,-2.68124929965525,4.25541307742785,-3.80952351179187,3.2188758248682
data,C,0.227140143078494,250,328.6254,0.146,-1.48218808160559,5.71813711407901,-3.40334929049976,5.52146091786225
data,C,0.135186576398292,25,800.8788,0.6,-2.00109940729743,5.25873013866921,-2.51255816598362,3.2188758248682
data,D,0.212421634987049,5,1596.8866,0.761,-1.54918213516399,5.3816431642897,-1.82245665318836,1.6094379124341
data,D,0.0468605160486805,10,236.1118,0.51,-3.06057983340059,4.40713970856099,-3.73396236907681,2.30258509299405
data,D,0.0468605160486805,300,22.5328,0.049,-3.06057983340059,4.40713970856099,-6.08329576528027,5.7037824746562
data,D,0.0113988382464572,20,50.564,0.449,-4.47424383698019,3.39268976744467,-5.2750279301086,2.99573227355399
data,C,0.0712600838116022,250,75.6832,0.107,-2.64141894266702,4.85705108764538,-4.87171158359411,5.52146091786225
data,C,0.0949475522562333,175,338.4128,0.361,-2.35443062134804,5.49921667226586,-3.37400133866609,5.16478597392351
data,D,0.109273904505553,10,475.7181,0.441,-2.21389766339806,4.68153040246686,-3.03344233883686,2.30258509299405
data,D,0.109273904505553,60,260.2713,0.241,-2.21389766339806,4.68153040246686,-3.6365432422155,4.0943445622221
data,D,0.0931615515850372,15,380.431,0.413,-2.37342017904847,4.87753298843141,-3.25696297022598,2.70805020110221
data,D,0.079624556472887,15,304.1044,0.387,-2.53043273530454,4.29683242762491,-3.48089672723857,2.70805020110221
data,C,0.16904657584497,60,425.7582,0.255,-1.77758100531306,4.87994579349034,-3.14439621125541,4.0943445622221
data,C,0.16904657584497,250,186.305,0.112,-1.77758100531306,4.87994579349034,-3.97088267506188,5.52146091786225
data,C,0.0267565967077257,10,104.1926,0.394,-3.62097423014607,3.5446195194156,-4.55202668121897,2.30258509299405
data,B,0.0532988886861984,400,25.0357,0.048,-2.93183979819284,4.40775931012636,-5.9779649844961,5.99146454710798
data,C,0.0607873383548161,20,271.0337,0.451,-2.80037376244037,4.46197324855885,-3.59602462335002,2.99573227355399
data,C,0.0607873383548161,75,188.8847,0.315,-2.80037376244037,4.46197324855885,-3.95713101475032,4.31748811353631
data,D,0.0496001688650285,250,79.4324,0.162,-3.00376104072019,4.66398383451237,-4.82336144526945,5.52146091786225
data,D,0.0831981920734042,20,301.5216,0.367,-2.48652966127804,4.40828118524884,-3.48942613534978,2.99573227355399
data,D,0.0831981920734042,100,130.3871,0.159,-2.48652966127804,4.40828118524884,-4.32776007252327,4.60517018598809
data,D,0.0831981920734042,350,25.613,0.031,-2.48652966127804,4.40828118524884,-5.95516775564953,5.85793315448346
data,C,0.0606279860595898,200,20.2822,0.034,-2.80299867634629,4.29587934881457,-6.18852413664027,5.29831736654804
data,C,0.123476503642838,25,645.3058,0.529,-2.09170439491882,5.54244909628545,-2.72854347777295,3.2188758248682
data,D,0.036682046986624,30,164.0202,0.453,-3.30546782653639,4.55502676348559,-4.0982781997709,3.40119738166216
data,D,0.255246914337132,15,1272.075,0.504,-1.36552391079738,5.51655843036638,-2.0498630863159,2.70805020110221
data,D,0.255246914337132,250,598.5415,0.237,-1.36552391079738,5.51655843036638,-2.80377192813109,5.52146091786225
data,D,0.255246914337132,350,521.2412,0.207,-1.36552391079738,5.51655843036638,-2.94205490026542,5.85793315448346
data,C,0.244478198524742,15,1187.0161,0.491,-1.40862914163084,5.7353552247545,-2.1190698326185,2.70805020110221
data,D,0.0885610047511272,175,271.4951,0.31,-2.42406364521785,5.39261428179148,-3.59432369941292,5.16478597392351
data,D,0.0982218160061788,20,580.2115,0.598,-2.32052692937297,5.48072524240273,-2.83487509849957,2.99573227355399
data,D,0.130529556080623,20,692.0184,0.537,-2.03615559448646,5.20548697272622,-2.65865524588237,2.99573227355399
data,C,0.207306174412407,100,481.855,0.235,-1.57355847507124,5.33764408408195,-3.02062455182522,4.60517018598809
data,D,0.156975673278422,250,197.1947,0.127,-1.8516644329106,5.76352707284144,-3.9140762252023,5.52146091786225
data,C,0.0593030456408015,5,320.6804,0.547,-2.82509461441872,4.36968274516721,-3.42782280221856,1.6094379124341
data,D,0.0992629173526619,5,625.1296,0.637,-2.30998321823458,4.90079150290748,-2.76030880250163,1.6094379124341
data,D,0.0992629173526619,60,312.6011,0.319,-2.30998321823458,4.90079150290748,-3.45333985388677,4.0943445622221
data,C,0.0280976893196487,25,124.5255,0.449,-3.57206793664104,4.35464163027395,-4.37375727653265,3.2188758248682
data,D,0.0402536661824213,15,166.9177,0.42,-3.21255419398803,4.06892494112943,-4.08076691416933,2.70805020110221
data,D,0.0359951678871187,20,162.5098,0.457,-3.32437057489287,4.13114826747722,-4.10752948309825,2.99573227355399
data,C,0.085168858943264,20,386.8171,0.46,-2.46311941732098,4.73634990303093,-3.24031581924647,2.99573227355399
data,C,0.085168858943264,60,239.4967,0.285,-2.46311941732098,4.73634990303093,-3.71972815269151,4.0943445622221
data,D,0.294174961987452,45,1256.0235,0.432,-1.22358057984962,5.44357904897017,-2.06256173369772,3.80666248977032
data,C,0.176618044164197,300,59.0842,0.034,-1.73376582069662,4.86699430968018,-5.11930424555812,5.7037824746562
data,D,0.103727846830871,200,212.2549,0.207,-2.26598466719266,4.92059354924088,-3.84047987983342,5.29831736654804
data,D,0.111311801920073,5,603.3676,0.549,-2.19541998930444,4.58120173636778,-2.79574116118285,1.6094379124341
data,D,0.111311801920073,10,492.7055,0.448,-2.19541998930444,4.58120173636778,-2.9983561582748,2.30258509299405
data,C,0.0807923837937991,175,91.3147,0.114,-2.51587257787557,4.5244367538437,-4.6839560084343,5.16478597392351
data,C,0.0807923837937991,250,59.2644,0.074,-2.51587257787557,4.5244367538437,-5.11625900228093,5.52146091786225
data,C,0.204210275306734,30,993.5119,0.492,-1.58860505470007,6.01748926086703,-2.29702175096571,3.40119738166216
data,D,0.0638246208022519,75,117.1711,0.186,-2.75161625708255,4.34614353074372,-4.4346325310373,4.31748811353631
data,D,0.0638246208022519,175,42.442,0.067,-2.75161625708255,4.34614353074372,-5.45012935275306,5.16478597392351
data,E,0.190755457508677,150,158.0826,0.084,-1.65676299843431,4.70467608576994,-4.13515010950919,5.01063529409626
data,D,0.176948581734777,175,368.7853,0.211,-1.7318960872848,5.28434033780741,-3.28805315885604,5.16478597392351
data,D,0.0165741445352529,75,42.1851,0.258,-4.09991135599159,3.56924539271734,-5.45620071261629,4.31748811353631
data,D,0.0165741445352529,200,23.9357,0.146,-4.09991135599159,3.56924539271734,-6.02289672245085,5.29831736654804
data,D,0.149252777808827,15,706.4714,0.479,-1.90211391509819,5.04035357515439,-2.6379850706823,2.70805020110221
data,D,0.149252777808827,150,271.3782,0.184,-1.90211391509819,5.04035357515439,-3.59475437081197,5.01063529409626
