---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,C,BC,-2.63579536454801,-5.33680937778288
data,D,DE,-4.23939782817697,-5.51099958401447
data,D,DE,-2.88336850762785,-4.00083962933676
data,C,BC,-3.79606220452141,-5.53673257129673
data,D,DE,-4.24122364333922,-6.46081796891641
data,C,BC,-1.92633706991739,-4.74183267149948
data,C,DE,-3.18303838562726,-5.21777911538981
data,E,DE,-1.67050960584968,-3.62919619745699
data,C,BC,-2.94426571789422,-5.1553981947081
data,D,DE,-4.2567258064051,-5.7345387784644
data,D,DE,-3.77156092973588,-5.37915884825618
data,C,BC,-2.69858338238851,-4.21236985266276
data,D,DE,-3.70319736020968,-5.93109249527042
data,D,DE,-4.49453079911822,-4.88154457613404
data,D,DE,-3.07307876428739,-5.34062160227421
data,D,DE,-2.13965917240063,-3.08291558767699
data,C,BC,-4.82573755943672,-7.79794637486673
data,C,DE,-4.5591671695705,-7.49539034817143
data,C,DE,-3.04810597271484,-5.54513375731952
data,C,BC,-5.47433438018777,-8.03061314031737
data,D,DE,-4.65463987215129,-5.24182008351606
data,D,DE,-4.07684648859251,-6.31552283352114
data,D,DE,-3.3002047365365,-5.23039598941326
data,C,BC,-2.77225820313127,-5.98197291018964
data,C,DE,-4.63184211305981,-8.17585561822665
data,C,DE,-4.60768785642656,-8.2779143777828
data,C,BC,-2.14384918076969,-2.98819002531328
data,C,BC,-3.06091802233168,-4.69765477022423
data,C,BC,-1.29220029831764,-3.09652800901467
data,D,DE,-1.48076081922895,-3.0307111765131
data,C,DE,-4.56112198705286,-6.78982241192783
data,D,DE,-4.48646052234147,-5.58153719914888
data,D,DE,-3.33197046238657,-4.42238712484616
data,D,DE,-3.32598181895868,-4.24470917947711
data,C,DE,-2.86519977708106,-5.97020539153727
data,C,BC,-3.70150736212055,-4.74621014831562
data,D,DE,-5.35205927236864,-6.81374128284106
data,D,DE,-2.51150208882413,-4.76720165561904
data,D,DE,-3.68230441145803,-5.51981948112013
data,D,DE,-3.27642856463165,-4.01184449556032
data,D,DE,-4.18368820267415,-5.18237611213061
data,D,DE,-5.62222409681134,-7.88551120979294
data,C,BC,-3.29455231622599,-5.25515608542101
data,C,BC,-3.12368144394581,-5.23975347343679
data,C,BC,-3.15175550724005,-5.59016393128741
data,B,BC,-3.49341593008664,-5.18609436718071
data,D,DE,-4.09034807067589,-5.98522134394395
data,D,DE,-2.78914777581281,-5.16982729251348
data,E,DE,-3.83246540449778,-5.83458661618549
data,D,DE,-4.91411630157941,-5.39488190570385
data,C,DE,-3.05996901404838,-5.8727517450815
data,C,BC,-2.09913104483573,-3.39950976285057
data,C,BC,-2.20620681722964,-3.41918836104123
data,C,BC,-5.82121982764572,-8.26931025960509
data,E,DE,-1.64476788217763,-3.02240463326069
data,C,DE,-2.79195536566801,-3.61889526794587
data,D,DE,-3.43569300284174,-5.96230601022946
data,D,DE,-4.75676080106345,-6.80271540055221
data,D,DE,-4.40808898607865,-7.49919147295906
data,E,DE,-5.7109798014064,-7.7115904390182
data,D,DE,-1.75538350058502,-3.81733658417568
data,C,DE,-3.84675298723073,-5.34562220488918
data,C,DE,-2.48553004330011,-4.75240686973793
data,C,BC,-3.19488284568652,-5.74224760904767
data,D,DE,-1.05518081440446,-3.1288158591581
data,D,DE,-3.93165206026151,-4.93829004714161
data,D,DE,-1.86621580871756,-3.0878648615842
data,D,DE,-2.76731048114818,-3.35489452722367
data,D,DE,-4.1201670958272,-5.44789446095285
data,D,DE,-4.4344259766425,-5.79739236606797
data,D,DE,-4.24536927493226,-6.00337542511256
data,C,BC,-3.99115230600762,-5.17894300654987
data,C,BC,-3.56589652841049,-5.66288005868273
data,D,DE,-2.79733450313075,-4.99374105613944
data,B,BC,-1.40339586183201,-3.08206919312159
data,D,DE,-4.87601025699663,-5.61901530735249
data,D,DE,-2.15363774986489,-3.70774301491938
data,D,DE,-2.81731425976465,-4.64968606610325
data,C,BC,-3.44998775609869,-4.45648573924661
data,C,DE,-4.34298178956801,-6.70757181796441
data,D,DE,-4.65303132993827,-5.18083928196739
data,D,DE,-3.18790054994604,-5.0911211428247
data,C,DE,-1.56880541526684,-2.59939156671275
data,D,DE,-3.97317529273846,-5.85945210605974
data,C,BC,-3.62842276675459,-4.59863032540889
data,C,DE,-5.15305527397734,-5.5762422657565
data,D,DE,-3.57355485278927,-5.10325317246805
data,D,DE,-2.72616114668784,-4.24280415512628
data,D,DE,-2.70714466587188,-3.12205940720711
data,D,DE,-2.48124402582061,-3.11347905820978
data,C,DE,-3.80286136223739,-4.70870172769703
data,B,BC,-2.65386218281855,-5.41650746883373
data,C,BC,-3.46943011466959,-5.78615846330704
data,D,DE,-3.55435055513624,-5.21593593237659
data,C,DE,-3.38599466801872,-5.79593282028157
data,C,BC,-3.40701056759563,-4.86590825203537
data,C,BC,-4.30368061940355,-5.4400918857098
data,D,DE,-3.83707259471114,-4.72479127244297
data,D,DE,-5.11385973796754,-5.64315693536382
data,B,AB,-4.23168076153415,-7.35680904040346
data,B,AB,-4.7614281230242,-7.5907968404168
data,E,DE,-1.96255890995037,-3.65300775189561
data,C,BC,-1.45823518957512,-3.41120758818742
data,D,DE,-3.07040480964337,-4.90056308146277
data,C,DE,-3.59616400126637,-4.95131372948491
data,D,DE,-2.18617128359618,-2.24263546016826
data,C,BC,-3.98149322588712,-5.48404754919042
data,D,DE,-3.1517279682017,-5.48365176383207
data,C,DE,-1.07027125971353,-2.44050307744021
data,D,DE,-1.83598731769643,-3.06074200140833
data,D,DE,-5.24449980479488,-5.53196961965275
data,C,BC,-3.99602788085757,-6.17980849749987
data,D,DE,-3.93204195795779,-5.30740754654668
data,C,BC,-3.51462500499055,-4.45026847721128
data,C,BC,-3.11038885640949,-4.46171654240417
data,C,BC,-5.16828330267379,-7.53307731237301
data,C,BC,-2.03546650477677,-4.99082620569451
data,C,BC,-4.21845227676124,-6.14073695486151
data,C,BC,-4.51197839683883,-7.40224437144801
data,D,DE,-4.13760343937738,-6.8299254285928
data,D,DE,-4.96230624393886,-6.39306934205431
data,C,BC,-2.38951428476178,-4.64624568767138
data,D,DE,-4.64073644158429,-6.63772346951677
data,D,DE,-4.65124586590585,-7.72866406521357
data,D,DE,-2.18133006876531,-4.77946297812576
data,D,DE,-2.78887588041314,-3.39960167863728
data,C,BC,-4.35019269117624,-6.78101468939683
data,D,DE,-4.53667165123546,-6.94482758908847
data,C,BC,-4.08038729677429,-6.68336257002774
data,C,BC,-3.75966231480864,-6.23061056374819
data,C,DE,-3.55327801777563,-4.47996524167347
data,C,BC,-4.76424318733841,-6.01922847814427
data,D,DE,-3.07214170606543,-4.88518864975044
data,C,BC,-3.98481782394433,-6.50055690854651
data,D,DE,-4.34012734424633,-4.86249749501622
data,D,DE,-5.06346905848115,-5.93355486503588
data,C,DE,-4.87841673293517,-7.84677236000069
data,C,BC,-4.58790210972769,-5.62969064803519
data,D,DE,-4.30638428332628,-5.17739749751907
data,D,DE,-2.87521874032755,-4.3962911154386
data,C,BC,-4.2379055921829,-5.57224975579669
data,D,DE,-5.20364957402334,-6.28022858402847
data,C,BC,-0.552183642460855,-2.11178406747166
data,E,DE,-2.81735787610796,-4.33601397371895
data,E,DE,-2.8413889118261,-4.2365935494306
data,C,BC,-1.22475636788991,-3.14947078039842
data,D,DE,-1.80522979038026,-2.34075413328227
data,D,DE,-3.03379029814506,-4.64052288647114
data,D,DE,-5.04775874641066,-6.41930583747705
data,E,DE,-1.8265181195265,-3.62542148514584
data,B,BC,-3.94996750354096,-5.78909854938641
data,D,DE,-1.81457400733882,-3.0663921151711
data,C,BC,-3.72851354233741,-5.24829042532087
data,D,DE,-3.58279115146359,-6.06574312721645
data,D,DE,-4.12986067954002,-5.95675241113458
data,D,DE,-2.22304827375621,-3.21956606390176
data,D,DE,-3.41719850960618,-4.48329163972609
data,C,DE,-3.71626032007055,-5.74207414873927
data,C,DE,-2.82702726440553,-5.43614804173251
data,D,DE,-2.31516110468883,-3.42757278461188
data,B,BC,-2.75762872270519,-4.4871562055591
data,E,DE,-2.93372843615331,-4.28415369203518
data,D,DE,-4.17708259749433,-4.63512517861229
data,C,DE,-4.40675868474085,-7.44777688732182
data,C,BC,-3.67883456510681,-6.14760526181033
data,C,DE,-3.50588924269708,-5.75322290009372
data,D,DE,-1.88026490464127,-2.59081012564333
data,C,DE,-3.37020936489287,-5.41957969302761
data,D,DE,-1.59605154470586,-3.33183945686025
data,D,DE,-1.85315964545445,-3.41364740408273
data,D,DE,-1.94994649770251,-4.52568901838397
data,C,DE,-4.0244947991427,-6.46076682758885
data,B,BC,-5.15963025392947,-6.61510108851916
data,C,DE,-1.74980174945382,-2.63141133799419
data,C,DE,-3.60735860633243,-6.1682630984842
data,D,DE,-4.74566345387376,-6.24660551646446
