---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnD
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnD
data,D,DE,-3.25748389052006,-3.52354844795991
data,D,DE,-3.53988253806505,-7.06309793794759
data,C,BC,-4.1454512087429,-5.53202066693973
data,C,BC,-3.01519620525777,-6.04924633200559
data,C,BC,-3.94764260239195,-5.17967176867437
data,B,BC,-2.54482639955552,-5.18526923467687
data,C,BC,-2.57210013673494,-2.72301724246305
data,D,DE,-4.64301889512082,-6.62963238907538
data,C,BC,-4.11668615489605,-6.42571809043365
data,C,DE,-4.11295882295092,-6.47448385923305
data,C,BC,-2.49064850203789,-3.16493386148888
data,D,DE,-2.81423252719468,-5.59168997768579
data,C,BC,-0.775553345121844,-3.27887733077411
data,C,BC,-5.1320744435805,-8.46580953859415
data,C,BC,-3.19447922285726,-4.31546208447143
data,C,BC,-3.92063938323003,-5.34518805234051
data,C,BC,-3.64579078788311,-5.30821126475368
data,D,DE,-4.34653090624229,-5.7316223569713
data,C,BC,-3.62974023805644,-4.29000630089361
data,D,DE,-2.10992145405161,-4.32936460407269
data,D,DE,-4.33876605533817,-6.60993392181227
data,C,BC,-0.400981794483404,-2.96712859061069
data,D,DE,-4.57668143825095,-4.85244757857956
data,D,DE,-2.54601213948217,-4.56136938470161
data,C,DE,-4.0517880450194,-5.10323757818637
data,C,BC,-1.98438623116461,-4.45160736409082
data,D,DE,-5.24519230704999,-8.10466576028055
data,C,DE,-3.2657367316497,-5.22772553765387
data,C,BC,-4.41429783064556,-5.78273415798908
data,C,BC,-2.16477497497102,-5.1510974137134
data,C,BC,-4.87249787031643,-5.65259925956534
data,D,DE,-2.31129180535628,-3.432909581383
data,C,BC,-3.20856489295789,-3.81366118269298
data,D,DE,-2.91496547023284,-5.4399541120984
data,D,DE,-4.29742714018576,-4.18430762170333
data,C,DE,-1.73127426013082,-2.02514177929096
data,D,DE,-3.97317529273846,-6.56007183549949
data,D,DE,-4.24952020535237,-6.21289822621994
data,D,DE,-4.04157151819253,-3.84686326335116
data,D,DE,-3.57355485278927,-5.01935959904079
data,C,BC,-2.74642241364535,-5.5902658326485
data,D,DE,-2.34211046166935,-3.04457854634113
data,D,DE,-4.78351981526516,-6.12370054003544
data,C,DE,-2.72007088219952,-3.44811069607956
data,C,BC,-2.0864111546963,-2.91551515188309
data,D,DE,-4.49723019862573,-6.49174932503557
data,D,DE,-4.45365396314077,-4.56779851995781
data,C,BC,-3.26752975458484,-5.52861882546395
data,E,DE,-2.61529366477266,-3.44907529600467
data,D,DE,-2.07385570113487,-4.67712190938917
data,D,DE,-0.518670452636376,-1.70108729570664
data,C,BC,-3.94300197702973,-7.11209464872325
data,C,DE,-4.18246057443455,-7.87090279039835
data,D,DE,-2.82553252699953,-4.56243756987138
data,C,DE,-4.2316120453265,-6.43955664569487
data,D,DE,-4.39662779738729,-5.42405225348387
data,C,BC,-2.25747002658851,-4.41808246326776
data,C,DE,-3.31255326129576,-5.26146431695774
data,D,DE,-4.64073644158429,-6.77548598256341
data,C,BC,-3.26103148384824,-4.80671910102925
data,D,DE,-2.66785895681888,-4.32020120243264
data,D,DE,-2.71940342687012,-3.4716028100667
data,D,DE,-3.61669736194505,-6.46065385940631
data,D,DE,-3.96058831777859,-7.19453670418456
data,C,DE,-3.39086641389216,-6.13814614454131
data,C,DE,-4.34450145786891,-5.84025159946819
data,D,DE,-4.49777410410389,-4.80016605902777
data,D,DE,-3.67852074760682,-4.10450790040118
data,D,DE,-5.83446328535876,-9.6184777685026
data,D,DE,-3.22459531211404,-3.89942681411284
data,D,DE,-4.88025301154973,-8.88330058280429
data,C,DE,-2.89837911358804,-4.79234429902173
data,D,DE,-5.15167525062135,-8.85772534490842
data,C,BC,-4.13270739780564,-5.98309878908545
data,C,DE,-4.73466872043356,-4.84542416676049
data,E,DE,-4.54549353016196,-6.19529135951719
data,D,DE,-2.61986709193341,-4.6084863511315
data,D,DE,-2.12583944582917,-4.72427008700191
data,B,BC,-2.30607622335343,-3.45441106593583
data,D,DE,-3.41148828483393,-3.09753284509565
data,D,DE,-5.04139339558395,-5.76286974341284
data,C,DE,-3.76431216027579,-4.46118486853462
data,D,DE,-3.28566321023405,-3.14934367644952
data,D,DE,-3.85649850730621,-4.02220491658787
data,C,DE,-3.31072188670755,-4.96847187278559
data,C,DE,-4.50533993278714,-4.74679600830809
data,D,DE,-3.64225966582455,-4.23725142375988
data,C,BC,-2.78999284756094,-3.64745495662255
data,D,DE,-4.14434890728074,-5.1726111746626
data,C,BC,-1.66932331783122,-2.9949297296081
data,C,DE,-4.47988566645843,-5.34309824675012
data,E,DE,-3.9794205445216,-4.47577775975268
data,C,BC,-3.22390032664242,-5.50672709983433
